000,000,000,000,000,000;
531M1,171,429,423,241,277;
241,272,344,132,062,567;
306,481,110,470,441,503;
666,567,277,549,112,435;
531M1,208,346,687,310,123;
110,510,479F4,346,107,429;
178,241,510,071,668,275;
124,435,006,171,389,567;
115,565,569,479,467,549;
006,460,217,516,292,112;
666,112,128,275,107,200;
569,467,352,277,028,503;
028,093,128,623,117,668;
423,510,531M1,666,178,256;
687,131,466,144,006,348;
666,567,423,711,687,241;
306,423,178,241,107,666;
306,531M1,256,344,466,171;
279,460,112,666,089,064;
567,668,531M1,389,171,713;
531M1,687,699,352,226,481;
139,057,093,128,335,567;
275,110,467,107,423,128;
107,623,171,103,110,006;
110,699,344,531M1,601,352;
256,689,275,423,093,124;
503,306,558,103,510,164;
601,110,332,226,256,699;
006,344,107,531M1,466,093;
429,277,346,297,110,136;
467,466,332,062,112,123;
107,479F4,542,481,377,055;
110,344,668,332,503,277;
115,123,256,171,112,178;
531M1,666,310,481,107,496;
128,139,569,467,567,107;
666,429,297,346,668,503;
467,567,699,335,123,531M1;
314,272,368,419,348,139;
324,292,181,178,531M1,057;
377,601,277,181,221,279;
027,185,064,083,460,479F3;
673,503,463,510,678,394;
668,479F4,110,687,076,394;
123,241,171,429,045,107;
277,678,550,467,171,409;
518,277,062,323,569,567;
107,623,128,123,171,124;
503,256,496,687,569,115;
264,291,357,366,306,123;
123,668,127,467,368,481;
423,178,128,208,006,275;
466,093,549,687,057,377;
687,291,089,297,277,394;
668,306,171,423,597,093;
062,178,346,272,171,107;
510,006,344,549,112,419;
089,346,699,171,277,623;
110,510,208,107,171,123;
352,447,606,441,324,241;
089,699,277,297,466,666;
623,335,668,062,435,481;
377,045,503,178,510,467;
141,256,171,045,324,429;
006,481,510,208,107,310;
006,107,510,171,241,389;
657,221,178,057,332,310;
306,226,310,297,481,510;
699,335,178,284,107,479F4;
107,124,277,208,275,171;
306,006,093,122,107,012;
689,256,127,549,510,481;
