000,000,000,000,000,000;
720,560,379,106,561,648;
475,295,593,176,424,452;
591,308,628,621,560,423;
594,051,379,272,135,362M1;
330,135,593,437,560,465;
135,470,442,628,051,655;
560,594,719,500,003,687;
359,569,460,720,537,142;
157,719,479F5,423,624,424;
178,424,662,693,437,442;
003,719,594,330,560,662;
687,464,640,628,569,009;
693,142,362,467,594,518;
460,199,330,628,500,719;
531M1,662,503,354,330,221;
560,199,379,042,655,479F5;
475,604,235,199,003,229;
308,379,561,480,254,560;
003,594,573,479F5,237,051;
107,464,157,479F5,561,452;
062,573,464,452,683,465;
560,295,424,379,009,186;
662,330,617,465,142,082;
135,362M1,424,330,176,563;
648,009,719,533,003,330;
315,444,581,375,514,441;
689,432,035,683,063,255;
655,003,295,464,537,237;
106,105,237,135,437,292;
549,500,135,139,648,215;
586,500,503,354,330,221;
139,561,330,437,452,500;
628,199,437,452,464,640;
229,617,330,003,009,135;
567,666,640,617,306,106;
539,538,264,210,476,026;
452,693,589,655,563,106;
561,573,693,563,082,452;
719,026,465,141,537,655;
500,009,379,295,479F5,480;
640,593,330,042,480,323M1;
617,560,537,479,500,362M1;
051,500,082,480,573,563;
452,009,699,668,344,292;
628,009,480,229,128,464;
210,594,679,359,330,379;
009,437,003,464,229,106;
640,662,009,135,683,621;
106,593,330,452,289,719;
573,229,009,277,709,621;
123,533,082,215,176,199;
537,330,110,379,215,655;
460,211,106,379,330,442;
310,139,640,480,295,330;
308,215,709,323M1,479F5,719;
354M1,437,009,186,135,132;
330,009,480,082,157,709;
354M1,628,436,594,295,168;
330,292,038,237,437,648;
709,229,379,561,437,560;
323M1,308,254,589,621,176;
082,142,106,009,003,042;
237,324,634,303,699,003;
561,051,558,720,176,640;
621,424,573,295,563,678;
291,510,237,394,185,082;
479,640,310,330,452,531M1;
424,354M1,465,480,215,009;
719,157,479F5,423,624,354M1;
369,119,340,171,211,131;
199,330,003,464,442,308;
186,563,135,208,215,500;
693,589,648,308,330,464;
308,295,306,563,683,479F5;
